Area,Name,Rating,Total Ratings,Address,Latitude,Longitude,Popularity Score,Estimated Monthly Visitors,Average Spend,Estimated Revenue,Cafe Category,
Dadar,SAZ Caf??,4.4,176,"NRK House, 1, Senapati Bapat Marg, next to Kamala Mills gate, Lower Parel, Mumbai, Maharashtra 400013, India",19.0019192,72.8293025,774.4,4400,? 450.00,"? 19,80,000.00",Popular,
Dadar,HOME CHEF,4.1,2470,"Meher Premises, Shivaji Park, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0241069,72.837661,10127,61750,? 350.00,"? 2,16,12,500.00",Popular,
Dadar,Terttulia,4.4,3727,"Ground Floor, The Kin Hotel, Shivaji Park, Sea Face, off Old Cadel Road, Dadar West, Mumbai, Maharashtra 400028, India",19.0256738,72.8352253,16398.8,93175,? 450.00,"? 4,19,28,750.00",Popular,
Dadar,Starbucks,4.3,2352,"UGF, Century Bhavan, Sadanand Hasu Tandel Marg, Century Bazaar, Worli, Mumbai, Maharashtra 400030, India",19.012696,72.823789,10113.6,58800,? 350.00,"? 2,05,80,000.00",Popular,
Dadar,Cafe Reed Mumbai,4.6,287,"8th Floor, Tower 2A, One World Center, Lower Parel, Mumbai, Maharashtra 400013, India",19.0067083,72.8327255,1320.2,7175,? 450.00,"? 32,28,750.00",Premium,
Dadar,Mani's cafe,4.2,505,"Shop 7, Plot 120, Ground Floor, Shaakuntala, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India",19.0254013,72.8396405,2121,12625,? 350.00,"? 44,18,750.00",Popular,
Dadar,Starbucks,4.4,724,"Shop No 2, Ground Floor, Mon Desir, Old Cadel Rd, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India",19.0251386,72.8359236,3185.6,18100,? 450.00,"? 81,45,000.00",Popular,
Dadar,Krishna's Cafe,4.2,188,"near Hindmata 1,2,3,7,FLOOR-GRD,221 GOHAR TAJ BUILDING, DR BABASAHEB AMBEDKAR ROAD, NAIGAON, Dadar East, Mumbai, Maharashtra 400014, India",19.0101258,72.8427151,789.6,4700,? 350.00,"? 16,45,000.00",Popular,
Dadar,Amba Bhavan Coffee Club,4.3,1817,"King's Circle Flyover, 373, Bhandarkar Rd, Matunga East, Mumbai, Maharashtra 400019, India",19.0272942,72.8546203,7813.1,45425,? 350.00,"? 1,58,98,750.00",Popular,
Dadar,Cafe Bae,4.5,257,"Monorail Station, Shop No 14 Shivaji Nagar N M Joshi Marg, Delisle Rd, below Lower Parel, Lower Parel East, Mumbai, Maharashtra 400013, India",18.9925303,72.8313058,1156.5,6425,? 450.00,"? 28,91,250.00",Premium,
